rule_id,sec_dfn_obj_nm,sec_dfn_nm,sec_dfn_eval_typ,sec_dfn_busn_rul_typ,dimension,column_name
MCRE_DQ_NULL_001,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCI_MCOM_CARD_NOT_PRES_CHRGBK_AM
MCRE_DQ_NULL_002,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCI_MCOM_CARD_NOT_PRES_CHRGBK_AM_NO
MCRE_DQ_NULL_003,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCI_MCOM_AVG_CHRGBK_TRAN_AM
MCRE_DQ_NULL_004,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCI_MCOM_MO_EFFCT_BILL_RT
MCRE_DQ_NULL_005,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCOM_MO_TRAN_BILL_AM
MCRE_DQ_NULL_006,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,MCOM_TRAN_BILL_AM
MCRE_DQ_NULL_007,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_DLVR_DY_NO
MCRE_DQ_NULL_008,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_DLVR_DY_AM
MCRE_DQ_NULL_009,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_DLVR_DY_RM
MCRE_DQ_NULL_010,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_TRAN_CHRGBK_RSK_AM
MCRE_DQ_NULL_011,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_DLVR_DY_RSK_AM
MCRE_DQ_NULL_012,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_TRAN_CHRGBK_RSK_RM
MCRE_DQ_NULL_013,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_TRAN_CHRGBK_AM
MCRE_DQ_NULL_014,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_TRAN_REFND_RSK_AM
MCRE_DQ_NULL_015,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_CRE_TRAN_GROS_AM
MCRE_DQ_NULL_016,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_1_PROV_GROS_AM
MCRE_DQ_NULL_017,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_2_CRE_DLVR_DY_NO
MCRE_DQ_NULL_018,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_2_CRE_DLVR_DY_AM
MCRE_DQ_NULL_019,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_2_CRE_DLVR_DY_RM
MCRE_DQ_NULL_020,rec1_sh_mcmads_sec,mcre_monthly_aggregate_report,Count,Null Value,Reliability,PMO_2_CRE_TRAN_CHRGBK_RSK_AM
